automobila	te	da	0.750000
do	kraja	života	0.136842
do	kraja	sezone	0.078947
do	kraja	stoljeća	0.057895
do	kraja	svog	0.021053
do	kraja	dana	0.015789
do	kraja	rujna	0.015789
do	kraja	a	0.015789
do	ljeta	kada	0.428571
do	m	s	0.150000
do	m	na	0.150000
do	m	visine	0.075000
do	m	a	0.075000
do	metara	visine	0.304348
do	metara	i	0.173913
do	metra	visine	0.500000
do	milijuna	godina	0.444444
do	naših	dana	1.000000
do	njegove	smrti	0.700000
do	odlaska	u	0.750000
do	pet	godina	0.333333
do	pete	godine	1.000000
do	pod	imenom	1.000000
do	podaci	su	1.000000
do	početka	stoljeća	0.230769
do	početka	godine	0.115385
do	početka	rata	0.115385
do	pred	kraj	0.666667
do	promjena	u	0.571429
do	promjene	u	0.400000
do	radio	je	0.666667
do	rujna	godine	0.428571
do	sada	je	0.322034
do	sada	su	0.169492
do	sada	nisu	0.067797
do	sada	se	0.050847
do	stoljeća	bio	0.176471
do	svoje	smrti	0.730769
do	tada	je	0.188679
do	tada	bio	0.094340
do	tada	nije	0.094340
do	tada	u	0.075472
do	tada	su	0.075472
do	tada	se	0.056604
do	te	mjere	0.464286
do	te	u	0.107143
do	tog	je	0.300000
do	tog	vremena	0.300000
do	toga	da	0.781250
do	trenutka	kada	0.333333
do	tri	godine	0.277778
do	visine	od	0.400000
do	znanja	da	0.900000
doba	kada	je	0.750000
dobi	od	godina	0.548780
dobi	od	godine	0.134146
dobi	od	do	0.073171
dobi	od	oko	0.048780
dobi	od	tri	0.036585
dobili	dozvolu	za	1.000000
dobili	ime	po	0.800000
dobili	su	ime	0.130435
dobra	i	zla	0.571429
dobre	odnose	s	1.000000
dobre	rezultate	u	0.600000
događaj	koji	je	0.500000
dogodio	se	u	0.285714
dogodio	se	kada	0.214286
dogoditi	da	se	0.444444
dogovoreno	je	da	0.750000
dojam	da	je	0.375000
dojam	da	su	0.375000
dokaza	da	je	0.600000
dokazi	da	je	0.750000
don	t	stop	0.571429
donosi	odluku	da	0.600000
dopušta	da	se	0.428571
dopušteno	da	se	0.600000
doveo	je	do	0.916667
došao	je	u	0.235294
došao	je	do	0.205882
došao	je	na	0.176471
došao	na	vlast	0.318182
došao	na	mjesto	0.136364
došao	u	sukob	0.200000
došao	u	kontakt	0.120000
došlo	do	njegovog	0.107143
došlo	do	promjena	0.107143
došlo	je	do	0.583333
došlo	je	i	0.095238
došlo	je	po	0.059524
došlo	je	na	0.035714
došlo	se	do	1.000000
druge	dvije	u	0.250000
druge	i	treće	0.466667
druge	strane	mnogi	0.042254
drugom	dijelu	sezone	0.300000
drugom	mjestu	u	0.500000
države	koja	je	0.625000
države	koje	su	0.363636
države	koje	imaju	0.272727
države	new	york	1.000000
duga	je	km	0.400000
duga	je	oko	0.120000
duga	oko	km	0.428571
dugi	niz	godina	0.923077
fakultet	u	rijeci	0.600000
film	govori	o	1.000000
film	i	za	0.187500
film	je	u	0.132530
film	je	bio	0.084337
film	je	zaradio	0.084337
film	je	dobio	0.060241
film	je	na	0.060241
film	je	prema	0.036145
film	je	ostao	0.036145
film	koji	je	0.687500
film	u	kojem	0.533333
film	završava	s	0.333333
filmovima	kao	što	0.833333
ga	da	se	0.217391
ga	je	u	0.045187
ga	je	na	0.039293
ga	je	i	0.021611
ga	je	njegov	0.019646
ga	je	zamijenio	0.015717
ga	je	godine	0.013752
ga	je	sin	0.013752
ga	je	pozvao	0.013752
ga	je	kao	0.013752
ga	je	rujna	0.011788
ga	je	za	0.011788
ga	je	odbio	0.011788
ga	je	dao	0.009823
ga	je	ubio	0.009823
ga	je	otkrio	0.009823
ga	je	zbog	0.009823
ga	je	ovaj	0.007859
ga	je	još	0.007859
ga	je	pitao	0.007859
ga	je	ona	0.007859
ga	je	smatrao	0.007859
ga	je	po	0.007859
ga	je	otac	0.007859
ga	je	od	0.007859
ga	je	s	0.005894
ga	je	htjela	0.005894
ga	je	car	0.005894
ga	je	spasio	0.005894
ga	je	ponovno	0.005894
ga	je	moguće	0.005894
ga	ne	bi	0.333333
ga	nitko	ne	1.000000
ga	posjeti	oko	0.750000
ga	povezuje	s	1.000000
ga	se	može	0.102564
ga	se	ne	0.064103
ga	se	smatra	0.051282
ga	se	naziva	0.051282
ga	se	i	0.038462
ga	se	u	0.038462
ga	se	još	0.038462
ga	se	jednim	0.038462
ga	stavlja	u	1.000000
ga	zbog	toga	0.833333
ga	čak	ni	0.750000
gdje	bi	se	0.333333
gdje	bi	ih	0.142857
gdje	ga	je	0.250000
gdje	god	je	0.750000
gdje	je	i	0.083851
gdje	je	bio	0.077640
gdje	je	radio	0.040373
gdje	je	u	0.034161
gdje	je	bila	0.031056
gdje	je	završio	0.021739
gdje	je	postao	0.018634
gdje	je	osvojio	0.018634
gdje	je	danas	0.015528
gdje	je	proveo	0.015528
gdje	je	živio	0.015528
gdje	je	imao	0.015528
gdje	je	od	0.015528
gdje	je	igrao	0.015528
gdje	je	ostao	0.012422
gdje	je	potrebna	0.009317
gdje	je	sreo	0.009317
gdje	je	ona	0.009317
gdje	je	radila	0.009317
gdje	je	on	0.009317
gdje	je	završila	0.009317
gdje	mu	je	0.625000
gdje	se	nalazi	0.101266
gdje	se	nalaze	0.075949
gdje	se	i	0.056962
gdje	se	u	0.031646
gdje	se	obično	0.025316
gdje	se	ona	0.025316
gdje	se	često	0.018987
gdje	se	danas	0.018987
gdje	su	se	0.239669
gdje	su	bili	0.066116
gdje	su	i	0.066116
gdje	su	u	0.049587
gdje	su	ga	0.049587
gdje	su	bila	0.024793
gdje	su	radili	0.024793
gdje	su	živjeli	0.024793
gdje	voda	teče	0.750000
gdje	će	se	0.350000
gdje	će	biti	0.250000
gledati	kao	na	0.428571
glumac	koji	u	0.454545
glumac	koji	je	0.454545
gotovo	da	i	0.214286
gotovo	deset	godina	1.000000
gotovo	na	svim	0.428571
gotovo	nikada	ne	0.750000
gotovo	pola	milijuna	0.600000
gotovo	su	sve	0.600000
gotovo	u	potpunosti	0.500000
gotovo	u	svim	0.125000
gotovo	u	cijeloj	0.125000
građani	drugog	reda	1.000000
hrana	su	mu	1.000000
i	ako	je	0.375000
i	ako	se	0.187500
i	bavi	se	1.000000
i	bez	obzira	0.131579
i	bijele	boje	0.555556
i	bila	je	0.826087
i	bile	su	1.000000
i	bili	su	0.789474
i	bilo	je	0.333333
i	bilo	mu	0.222222
i	bio	je	0.651515
i	borili	se	1.000000
i	brži	od	0.750000
i	c	u	0.272727
i	cijeli	niz	0.333333
i	cm	a	0.375000
i	crkva	sv	0.411765
i	crkvu	sv	0.600000
i	crne	gore	0.750000
i	crvene	boje	0.857143
i	da	je	0.217125
i	da	se	0.146789
i	da	su	0.085627
i	da	će	0.070336
i	da	bi	0.051988
i	da	ne	0.033639
i	da	ga	0.030581
i	da	mu	0.021407
i	da	im	0.015291
i	da	u	0.015291
i	da	nije	0.012232
i	da	ima	0.012232
i	da	joj	0.009174
i	da	na	0.009174
i	da	postane	0.009174
i	da	može	0.009174
i	da	li	0.009174
i	daje	mu	0.263158
i	daje	se	0.157895
i	daje	joj	0.157895
i	dalje	se	0.081871
i	dalje	je	0.070175
i	dalje	ostaje	0.046784
i	dalje	u	0.040936
i	dalje	su	0.035088
i	dalje	na	0.029240
i	dalje	ima	0.017544
i	dalje	ostao	0.017544
i	dalje	ne	0.017544
i	dalje	ostaju	0.017544
i	dalje	bila	0.017544
i	dalje	vrlo	0.017544
i	dalje	bio	0.017544
i	dan	danas	0.666667
i	danas	u	0.088050
i	danas	se	0.075472
i	danas	je	0.069182
i	danas	nalazi	0.037736
i	danas	su	0.037736
i	danas	ima	0.037736
i	danas	koriste	0.025157
i	danas	žive	0.025157
i	danas	na	0.025157
i	danas	mogu	0.018868
i	danas	postoji	0.018868
i	danas	često	0.018868
i	danas	koristi	0.018868
i	dao	mu	0.300000
i	dao	joj	0.200000
i	dao	ime	0.150000
i	desne	strane	0.750000
i	desno	od	0.750000
i	diljem	svijeta	1.000000
i	djeluje	kao	0.375000
i	do	danas	0.087719
i	do	tada	0.043860
i	do	cm	0.043860
i	do	sada	0.043860
i	do	metara	0.043860
i	do	m	0.035088
i	do	km	0.035088
i	do	c	0.035088
i	do	kraja	0.035088
i	do	mm	0.026316
i	do	godina	0.026316
i	do	promjene	0.026316
i	dobila	ime	0.833333
i	dobili	ime	0.571429
i	dobio	je	0.333333
i	dobio	ime	0.285714
i	dok	je	0.285714
i	dok	su	0.214286
i	dok	se	0.214286
i	dolazi	do	0.333333
i	dolazi	na	0.333333
i	don	t	1.000000
i	dosta	su	0.500000
i	dr	koji	0.230769
i	drugdje	u	0.750000
i	druge	strane	0.066667
i	druge	poslove	0.066667
i	drugih	dijelova	0.100000
i	dužnost	je	0.750000
i	dva	puta	0.200000
i	dva	brata	0.100000
i	dvije	kćeri	0.111111
i	dvije	sestre	0.111111
i	engleski	jezik	0.800000
i	engleskog	jezika	1.000000
i	engleskom	jeziku	1.000000
i	francuski	jezik	0.500000
i	francuski	i	0.250000
i	gdje	je	0.454545
i	glavni	grad	0.307692
i	godine	kada	0.142857
i	godine	u	0.107143
i	gotovo	sve	0.312500
i	hoće	li	1.000000
i	hrane	se	0.666667
i	i	ii	0.210526
i	ih	godina	0.333333
i	ima	oko	0.090909
i	imala	je	0.714286
i	imali	su	0.500000
i	imao	je	0.714286
i	iste	je	0.600000
i	isto	toliko	0.500000
i	it	s	0.750000
i	iz	njih	0.136364
i	izvan	nje	0.380952
i	je	li	0.157895
i	jedan	od	0.420290
i	jedan	je	0.086957
i	jedan	na	0.043478
i	jedna	od	0.512821
i	jedna	je	0.179487
i	jednim	od	0.833333
i	jedno	od	0.388889
i	jedno	dijete	0.166667
i	jednu	kćer	0.454545
i	još	nekim	0.107143
i	još	uvijek	0.107143
i	još	neke	0.089286
i	još	nekoliko	0.071429
i	još	neki	0.053571
i	južno	od	0.750000
i	južnoj	americi	0.571429
i	kad	je	0.352941
i	kad	se	0.235294
i	kad	bi	0.088235
i	kada	je	0.187500
i	kada	su	0.187500
i	kada	se	0.156250
i	kako	se	0.173913
i	kako	bi	0.130435
i	kako	je	0.130435
i	kako	su	0.086957
i	kako	ne	0.043478
i	kako	mu	0.043478
i	kao	takva	0.053571
i	kao	takav	0.035714
i	kao	predsjednik	0.026786
i	kao	prvi	0.026786
i	kasnije	je	0.206897
i	kasnije	se	0.103448
i	kasnije	rođeni	0.103448
i	kasnije	u	0.103448
i	kaže	da	0.400000
i	kaže	mu	0.333333
i	klub	se	0.600000
i	kod	žena	0.242424
i	kod	ostalih	0.121212
i	kod	drugih	0.075758
i	kod	nekih	0.060606
i	koja	je	0.257143
i	koja	se	0.228571
i	koja	su	0.114286
i	koja	će	0.114286
i	koje	su	0.344828
i	koje	se	0.137931
i	koje	je	0.103448
i	koje	bi	0.103448
i	koji	je	0.290909
i	koji	su	0.181818
i	koji	se	0.163636
i	koji	će	0.054545
i	kolege	su	0.571429
i	koliko	je	1.000000
i	koriste	se	0.833333
i	koristi	se	0.230769
i	koristio	je	0.750000
i	krenuo	je	0.428571
i	kreće	se	0.333333
i	kreće	u	0.333333
i	kreću	se	0.500000
i	kreću	u	0.500000
i	laboratorij	za	0.750000
i	lako	se	0.600000
i	manje	od	0.363636
i	među	njima	0.428571
i	mjesto	gdje	0.272727
i	mjesto	na	0.272727
i	mnoge	druge	0.653846
i	mnoge	od	0.115385
i	mnogi	drugi	0.533333
i	mnogi	su	0.200000
i	mnogih	drugih	1.000000
i	mogu	se	0.391304
i	moguće	je	1.000000
i	morali	su	1.000000
i	morao	je	0.428571
i	može	se	0.571429
i	može	ga	0.107143
i	muškarci	i	0.333333
i	na	taj	0.105769
i	na	kraju	0.080128
i	na	njoj	0.025641
i	na	druge	0.022436
i	na	njemu	0.019231
i	na	području	0.019231
i	na	njima	0.016026
i	na	sjeveru	0.016026
i	na	nekoliko	0.012821
i	na	njegovo	0.012821
i	na	dva	0.012821
i	na	sve	0.012821
i	na	kojem	0.009615
i	na	ovom	0.009615
i	na	više	0.009615
i	na	otoku	0.009615
i	na	toj	0.009615
i	na	televiziji	0.009615
i	na	drugi	0.009615
i	na	njegovu	0.009615
i	na	drugim	0.009615
i	na	ostalim	0.009615
i	na	internetu	0.009615
i	na	svom	0.009615
i	nadzor	nad	1.000000
i	nagrade	za	0.800000
i	nagradu	za	0.500000
i	nakon	što	0.265625
i	nakon	toga	0.203125
i	nakon	odlaska	0.062500
i	nakon	rata	0.046875
i	nakon	njega	0.046875
i	nalazi	se	0.750000
i	napisao	je	0.555556
i	naziva	se	0.500000
i	nazvao	ga	0.600000
i	ne	može	0.086957
i	ne	postoji	0.057971
i	ne	moraju	0.057971
i	ne	bi	0.057971
i	ne	mogu	0.043478
i	ne	želi	0.043478
i	neke	druge	0.333333
i	neke	od	0.125000
i	neki	drugi	0.363636
i	nekoliko	puta	0.088235
i	new	yorku	0.500000
i	new	yorka	0.375000
i	nije	se	0.144928
i	nije	bilo	0.101449
i	nije	bio	0.072464
i	nije	imao	0.043478
i	nikada	se	0.750000
i	niz	drugih	0.500000
i	njegov	sin	0.166667
i	njegov	brat	0.100000
i	njegov	prvi	0.083333
i	njegov	otac	0.066667
i	njegov	tim	0.050000
i	njegova	supruga	0.146667
i	njegova	žena	0.133333
i	njegova	obitelj	0.093333
i	njegova	ekipa	0.053333
i	njegova	sestra	0.053333
i	njegova	majka	0.040000
i	njegove	žene	0.300000
i	njegove	supruge	0.133333
i	njegovi	prijatelji	0.300000
i	njegovi	ljudi	0.250000
i	njegovog	oca	0.444444
i	njegovoj	obitelji	0.750000
i	njezin	muž	0.166667
i	njezina	sestra	0.230769
i	njih	dvojica	0.500000
i	njihovih	obitelji	0.300000
i	njima	se	0.428571
i	noge	su	0.714286
i	oba	puta	0.500000
i	obećao	da	1.000000
i	obično	se	0.350000
i	obično	je	0.150000
i	objavio	je	0.230769
i	od	tada	0.246753
i	od	do	0.077922
i	od	njih	0.051948
i	od	strane	0.051948
i	od	tog	0.038961
i	odlaze	u	0.600000
i	odlazi	u	0.500000
i	odlučili	su	1.000000
i	održava	se	0.666667
i	on	je	0.366667
i	on	ju	0.050000
i	on	se	0.050000
i	ona	je	0.274510
i	ona	se	0.098039
i	ona	i	0.078431
i	ona	mu	0.058824
i	onda	je	0.227273
i	one	su	0.222222
i	one	s	0.222222
i	oni	su	0.166667
i	oni	koji	0.119048
i	oni	sami	0.095238
i	oni	se	0.095238
i	onih	koji	0.500000
i	ono	što	0.600000
i	opet	će	0.250000
i	ostali	su	0.107143
i	ostalih	članova	0.166667
i	ostao	je	0.375000
i	osuđen	na	0.750000
i	osvojio	je	0.333333
i	otišao	u	0.600000
i	otkrio	je	0.500000
i	ovaj	je	0.285714
i	ovaj	put	0.238095
i	ovdje	se	0.214286
i	ovisi	o	1.000000
i	oženio	se	0.857143
i	padne	na	1.000000
i	pet	godina	0.250000
i	po	tome	0.230769
i	po	svojim	0.051282
i	po	nekoliko	0.038462
i	pod	imenom	0.600000
i	podaci	su	1.000000
i	pokazao	se	1.000000
i	pol	godine	0.279070
i	pol	dana	0.093023
i	pol	sata	0.093023
i	politički	i	0.272727
i	ponovno	se	0.210526
i	pored	toga	0.611111
i	pored	svih	0.166667
i	posljednji	album	0.444444
i	postala	je	0.214286
i	postao	je	0.371429
i	postigao	je	0.416667
i	potom	je	0.250000
i	povijest	umjetnosti	0.600000
i	povući	se	0.428571
i	počeo	je	0.444444
i	početka	stoljeća	0.857143
i	počne	se	0.400000
i	pravo	na	0.571429
i	prema	tome	0.210526
i	prema	kojem	0.157895
i	preselio	se	0.750000
i	pri	tome	0.375000
i	pridružio	se	0.750000
i	prije	nego	0.307692
i	prije	svega	0.115385
i	privatne	kuće	0.750000
i	priča	o	0.750000
i	priče	o	0.300000
i	promjene	u	1.000000
i	pruža	se	0.500000
i	prvi	predsjednik	0.083333
i	prvi	album	0.083333
i	prvi	put	0.083333
i	rada	u	0.272727
i	radi	u	0.315789
i	radi	kao	0.157895
i	radio	u	0.416667
i	radio	na	0.250000
i	rat	protiv	0.600000
i	razne	druge	0.571429
i	rekao	da	0.400000
i	rekao	mu	0.300000
i	sa	svojom	0.162162
i	sa	svojim	0.135135
i	sad	u	0.285714
i	sad	a	0.190476
i	sam	se	0.092593
i	sam	bio	0.092593
i	sam	je	0.055556
i	samo	ime	0.208333
i	shvati	da	0.750000
