актьор	и	продуцент	0.750000
благодарим	на	всички	0.777778
благодарни	сме	на	0.600000
близък	до	този	0.375000
близък	приятел	на	0.800000
болки	в	гърба	0.384615
борис	джонсън	и	0.120000
бързо	да	се	0.407407
бързо	да	бъдат	0.111111
бързо	за	да	1.000000
бързо	и	лесно	0.303030
бързо	и	по	0.151515
бързо	може	да	1.000000
бюро	по	труда	0.800000
важна	роля	в	0.600000
важна	част	от	0.750000
вариант	би	бил	0.750000
вариант	в	който	1.000000
вариант	е	да	0.500000
вариант	на	плана	0.214286
вариант	при	който	0.750000
взе	мярка	за	1.000000
взе	решение	да	0.461538
взе	решение	за	0.307692
взе	участие	в	0.600000
вземат	мерки	за	0.600000
вземат	решение	за	0.545455
вземат	решения	и	0.500000
вземат	участие	в	0.428571
взеха	да	се	0.750000
взеха	участие	в	0.785714
видеото	се	вижда	0.750000
виждам	те	кат	1.000000
вина	за	това	0.375000
виновен	за	това	0.600000
включително	и	от	0.158730
включително	и	на	0.095238
включително	и	за	0.079365
включително	и	по	0.079365
включително	и	чрез	0.063492
включително	и	такива	0.047619
включително	и	пред	0.047619
включително	и	тези	0.047619
включително	по	време	0.500000
власт	в	страната	0.300000
власт	и	пари	0.363636
власт	трябва	да	1.000000
влезе	в	сила	0.406593
влезе	в	ролята	0.043956
влезе	в	затвора	0.032967
влезе	на	пазара	0.500000
влизане	в	страната	0.291667
влизане	в	сила	0.250000
влизат	в	сила	0.315789
влязат	в	сила	0.351351
влязат	в	сблъсък	0.081081
води	до	по	0.125000
води	до	промяна	0.075000
води	и	до	0.571429
водят	и	до	0.800000
водят	преговори	с	0.357143
водят	разговори	с	0.555556
военен	конфликт	в	0.214286
военните	действия	в	0.407407
военните	действия	на	0.111111
военните	действия	и	0.111111
война	в	европа	0.350000
война	между	русия	0.750000
война	на	русия	0.380952
война	на	територията	0.190476
война	не	е	0.272727
война	с	русия	0.823529
война	срещу	русия	0.666667
войната	да	се	0.333333
войната	да	свърши	0.250000
войната	за	да	1.000000
войната	между	русия	0.666667
войната	на	русия	0.727273
войната	на	москва	0.090909
войната	по	пътищата	1.000000
войната	си	в	0.750000
войната	трябва	да	0.750000
войници	в	близост	0.500000
войници	да	се	0.750000
врата	за	да	1.000000
време	броят	на	1.000000
време	в	което	0.225000
време	да	се	0.271429
време	да	бъде	0.085714
време	да	си	0.071429
време	да	промени	0.042857
време	е	да	0.324324
време	е	за	0.121622
време	е	имало	0.040541
време	е	била	0.040541
време	е	на	0.040541
време	за	да	0.327273
време	за	това	0.054545
време	и	да	0.135593
време	и	на	0.067797
време	и	за	0.050847
време	може	да	1.000000
време	на	срещата	0.078947
време	на	време	0.061404
време	на	втората	0.038012
време	на	среща	0.038012
време	на	война	0.029240
време	на	управлението	0.020468
време	на	кампанията	0.017544
време	на	мача	0.014620
време	на	работа	0.014620
време	на	който	0.014620
време	на	изборите	0.014620
време	на	церемония	0.014620
време	на	разговора	0.014620
време	на	неговото	0.011696
време	на	войната	0.011696
време	на	годината	0.011696
време	на	инцидента	0.011696
време	на	първото	0.011696
време	на	разследването	0.011696
време	на	които	0.008772
време	на	първата	0.008772
време	на	криза	0.008772
време	на	избори	0.008772
време	на	онлайн	0.008772
време	на	полета	0.008772
време	на	двете	0.008772
време	на	процеса	0.008772
време	на	военен	0.008772
време	на	последния	0.008772
време	на	посещение	0.008772
време	не	е	0.230769
време	от	до	0.333333
време	стана	ясно	1.000000
време	трябва	да	1.000000
време	ще	могат	0.111111
време	ще	бъде	0.111111
времето	в	което	0.916667
времето	и	да	0.250000
времето	когато	той	0.150000
времето	на	управлението	0.111111
времето	на	министър	0.083333
времето	на	цар	0.083333
времето	от	до	0.500000
времето	през	което	0.800000
времето	си	в	0.266667
времето	ще	бъде	0.421053
времето	ще	е	0.263158
връзки	с	русия	0.272727
връзките	си	с	1.000000
връх	при	която	1.000000
връщат	обратно	в	0.600000
всеки	да	си	0.200000
всеки	да	може	0.200000
всеки	ден	и	0.154639
всеки	ден	на	0.061856
всеки	ден	се	0.051546
всеки	ден	в	0.041237
всеки	ден	по	0.041237
всеки	ден	от	0.030928
всеки	ден	за	0.030928
всеки	ден	във	0.030928
всеки	ден	с	0.030928
всеки	един	от	0.500000
всеки	един	момент	0.100000
всеки	знае	че	0.500000
всеки	има	право	0.307692
всеки	който	е	0.184615
всеки	който	има	0.123077
всеки	който	се	0.107692
всеки	който	го	0.061538
всеки	който	иска	0.061538
всеки	който	може	0.061538
всеки	който	не	0.061538
всеки	който	желае	0.046154
всеки	месец	и	0.136364
всеки	може	да	1.000000
всеки	опит	за	0.333333
всеки	от	нас	0.375000
всеки	от	тях	0.312500
всеки	от	двамата	0.062500
всеки	път	когато	0.333333
всеки	път	като	0.090909
всеки	сам	си	0.500000
всеки	трябва	да	0.750000
всеки	човек	който	0.294118
всеки	ще	може	0.363636
второ	и	трето	0.888889
второ	място	в	0.250000
второ	място	е	0.173077
второ	място	по	0.076923
второ	място	се	0.076923
второто	нещо	е	0.500000
второто	нещо	което	0.500000
възможност	да	се	0.367925
възможност	да	си	0.084906
възможност	да	ги	0.028302
възможност	за	това	0.057692
възможност	и	за	0.428571
възможност	на	учениците	0.111111
възраст	да	се	0.600000
възраст	до	години	0.800000
възраст	и	повече	0.454545
възраст	между	и	0.916667
възраст	над	години	0.769231
възраст	от	до	0.523810
възраст	от	години	0.142857
възраст	под	години	1.000000
възрастните	хора	и	0.300000
външния	министър	на	0.400000
външния	министър	да	0.300000
външния	си	вид	0.800000
върви	по	план	0.461538
върви	по	пътя	0.230769
върна	на	президента	0.250000
вътрешна	сигурност	и	0.416667
вярва	че	това	0.111111
вярва	че	може	0.111111
вярвам	че	ще	0.181818
вярвам	че	в	0.054545
вярвам	че	има	0.054545
вярваме	че	ще	0.230769
вярно	е	че	0.750000
вятърът	ще	се	0.520000
вятърът	ще	е	0.320000
вятърът	ще	бъде	0.120000
гаранция	в	размер	1.000000
гаранция	за	успех	0.214286
ги	е	страх	0.240000
ги	използват	за	0.500000
ги	кара	да	1.000000
ги	накара	да	1.000000
ги	прави	по	0.500000
главен	прокурор	лаура	0.206897
главен	път	е	0.900000
главен	редактор	на	0.800000
главен	секретар	на	0.875000
гледа	като	на	1.000000
гледна	точка	на	0.422535
гледна	точка	е	0.098592
гледна	точка	към	0.042254
години	а	през	0.120000
години	в	които	0.133333
години	да	се	0.208333
години	да	не	0.166667
години	е	работил	0.075000
години	е	най	0.075000
години	е	бил	0.075000
години	е	имало	0.075000
години	живее	в	0.750000
години	за	да	0.521739
години	затвор	за	0.428571
години	и	половина	0.107438
години	и	се	0.066116
години	и	не	0.049587
години	и	да	0.033058
години	и	дни	0.033058
години	и	има	0.024793
години	каза	той	0.428571
години	както	и	0.428571
години	които	не	0.400000
години	може	да	1.000000
години	на	миналия	0.615385
години	не	е	0.212121
години	не	се	0.181818
години	не	могат	0.090909
години	опит	в	1.000000
години	от	създаването	0.127660
години	от	смъртта	0.106383
години	от	живота	0.063830
години	по	късно	0.637681
години	по	рано	0.173913
години	преди	да	0.375000
години	са	били	0.260870
години	след	като	0.333333
години	след	края	0.090909
години	след	това	0.090909
години	така	че	0.750000
години	той	се	0.230769
години	трябва	да	1.000000
години	тя	е	0.428571
години	у	нас	1.000000
години	ще	се	0.200000
години	ще	бъдат	0.200000
годишен	водач	от	0.636364
годишен	мъж	от	0.454545
годишен	мъж	който	0.136364
годишен	мъж	е	0.068182
годишен	от	с	0.583333
големи	и	малки	0.307692
големи	къщи	и	1.000000
големи	части	от	1.000000
голямо	внимание	на	0.800000
голямо	значение	за	0.333333
голямо	от	това	0.600000
голямото	предизвикателство	е	0.375000
гост	на	празника	0.500000
гости	на	града	0.357143
гостите	беше	и	1.000000
гостите	да	се	0.750000
гостите	на	града	0.307692
град	в	страната	0.214286
град	за	хората	0.750000
градове	на	страната	0.666667
градуса	на	метра	0.600000
градът	да	се	0.750000
граждани	да	използват	0.176471
граждани	и	на	0.173913
граждани	които	се	0.294118
граждани	които	са	0.235294
граждани	на	европа	0.250000
граждани	са	били	0.375000
граждани	трябва	да	1.000000
граница	за	да	1.000000
граница	с	русия	0.500000
границата	за	да	1.000000
границата	с	русия	0.600000
грижат	за	тях	0.357143
грижи	за	здравето	0.150000
грубо	нарушение	на	0.750000
групи	които	ще	0.230769
дава	възможност	на	0.395349
дава	възможност	за	0.325581
дава	възможност	да	0.186047
дава	право	на	0.500000
дава	право	да	0.500000
дава	предимство	на	1.000000
даден	на	съд	0.500000
дай	боже	да	0.466667
далеч	не	е	0.722222
далеч	не	са	0.166667
далеч	от	истината	0.129032
данните	от	последното	0.222222
данните	показват	че	0.727273
данните	са	от	0.352941
дата	ще	бъде	0.750000
двамата	мъже	са	0.600000
двамата	са	се	0.142857
двата	най	големи	0.750000
двата	отбора	са	0.230769
двата	случая	са	0.500000
ден	в	който	0.370370
ден	да	се	0.360000
ден	за	да	0.172414
ден	и	ще	0.125000
ден	и	за	0.075000
ден	може	да	1.000000
ден	на	свободата	0.063492
ден	на	доставка	0.063492
ден	на	тази	0.047619
ден	на	жената	0.047619
ден	не	е	0.300000
ден	от	до	0.100000
ден	от	седмицата	0.100000
ден	от	войната	0.100000
ден	от	часа	0.100000
ден	по	рано	0.518519
ден	по	късно	0.222222
ден	след	като	0.576923
ден	стана	ясно	1.000000
ден	той	ще	0.444444
ден	ще	се	0.250000
десет	души	след	0.500000
десет	минути	по	0.500000
деца	до	годишна	0.428571
деца	и	ученици	0.238095
деца	и	възрастни	0.166667
деца	които	са	0.266667
деца	на	възраст	0.416667
деца	на	жена	0.125000
деца	на	по	0.125000
деца	над	години	0.750000
деца	от	до	0.300000
деца	са	били	0.625000
децата	в	училище	0.250000
децата	да	бъдат	0.166667
децата	да	се	0.166667
децата	и	учениците	0.200000
децата	които	не	0.375000
децата	могат	да	1.000000
децата	от	до	0.120000
децата	от	училище	0.120000
децата	си	на	0.166667
децата	си	и	0.133333
децата	си	в	0.100000
децата	трябва	да	1.000000
добрите	условия	за	0.666667
доведе	до	по	0.087500
доведе	до	още	0.087500
доведе	до	сериозни	0.050000
доведе	до	това	0.050000
доведе	до	повече	0.037500
доведе	до	най	0.037500
доведе	и	до	0.846154
договор	за	доставка	0.200000
договор	с	фирма	0.187500
дойде	време	да	0.454545
дойде	време	за	0.363636
дойде	и	да	0.187500
дойде	на	власт	0.466667
дойде	при	нас	0.500000
дойде	при	мен	0.300000
доказателства	за	това	0.380952
доколкото	е	възможно	1.000000
документи	за	самоличност	0.222222
документи	за	участие	0.222222
долара	за	да	0.192308
долара	за	тон	0.115385
долара	на	ден	0.315789
долара	на	тон	0.210526
долара	на	месец	0.157895
долара	под	формата	1.000000
долара	през	г	0.500000
долара	след	като	0.666667
досега	не	е	0.296296
досега	не	се	0.148148
досега	не	съм	0.111111
досега	не	са	0.111111
досега	никога	не	0.800000
доставя	газ	на	0.400000
достатъчни	за	да	0.700000
дреме	и	на	1.000000
дрогата	е	открита	0.750000
друга	причина	не	0.300000
друга	страна	от	0.072727
друга	страна	ще	0.072727
друга	страна	е	0.072727
друга	страна	се	0.054545
друга	част	от	0.600000
другия	край	на	0.857143
друго	а	защото	0.750000
друго	е	да	0.400000
друго	но	не	0.857143
друго	освен	да	0.500000
думи	това	е	1.000000
дълг	в	размер	1.000000
дълг	е	да	0.750000
дълг	на	русия	0.428571
дълги	години	са	0.096774
дълги	години	е	0.096774
дълго	време	на	0.080000
дълго	време	да	0.060000
дълго	време	е	0.060000
дълго	може	да	1.000000
дълъг	период	на	0.285714
дълъг	период	от	0.285714
държава	в	която	0.526316
държава	да	се	0.214286
държава	и	да	0.153846
държава	и	на	0.115385
държава	която	не	0.300000
е	аз	съм	0.375000
е	без	значение	0.269231
е	бил	на	0.068729
е	бил	в	0.058419
е	бил	с	0.041237
е	бил	задържан	0.037801
е	бил	арестуван	0.030928
е	бил	открит	0.030928
е	бил	и	0.030928
е	бил	за	0.024055
е	бил	убит	0.024055
е	бил	под	0.024055
е	бил	само	0.017182
е	бил	по	0.017182
е	бил	ранен	0.013746
е	бил	до	0.013746
е	бил	част	0.013746
е	бил	много	0.010309
е	бил	толкова	0.010309
е	бил	намерен	0.010309
е	бил	най	0.010309
е	бил	облечен	0.010309
е	била	на	0.054545
е	била	в	0.048485
е	била	с	0.042424
е	била	около	0.024242
е	била	и	0.024242
е	била	против	0.024242
е	била	толкова	0.024242
е	била	член	0.018182
е	била	да	0.018182
е	била	над	0.018182
е	била	само	0.018182
е	било	на	0.049180
е	било	взето	0.040984
е	било	заради	0.024590
е	било	с	0.024590
е	било	в	0.024590
е	било	по	0.024590
е	било	позволено	0.024590
е	било	да	0.024590
е	било	открито	0.024590
е	било	толкова	0.024590
е	благодарение	на	1.000000
е	близо	до	0.600000
е	близък	до	1.000000
е	броят	на	1.000000
е	важен	за	0.250000
е	важен	защото	0.200000
е	важна	за	0.166667
е	важна	и	0.166667
е	важно	да	0.513043
е	важно	за	0.130435
е	важно	и	0.052174
е	вероятно	да	0.315789
е	вече	в	0.142857
е	взел	решение	0.230769
е	взето	решение	0.212121
е	взето	на	0.181818
е	взето	от	0.090909
е	виновен	за	0.555556
е	виновен	че	0.333333
е	включен	в	0.500000
е	включен	и	0.400000
е	влюбена	в	1.000000
е	влязъл	в	0.600000
е	водач	на	0.571429
е	военна	операция	0.600000
е	война	и	0.272727
е	война	на	0.272727
е	време	да	0.522727
е	време	за	0.340909
е	все	още	0.405405
е	все	едно	0.243243
е	все	по	0.162162
е	все	така	0.108108
е	всички	да	0.272727
е	втората	по	0.461538
е	вторият	по	0.285714
е	във	връзка	0.300000
е	възможно	да	0.450980
е	възможно	и	0.084967
е	възможно	по	0.045752
е	възможно	в	0.026144
е	възможно	само	0.019608
е	възможност	за	0.400000
е	възможност	да	0.400000
е	вън	от	0.800000
е	въпрос	на	0.769231
е	въпрос	който	0.115385
е	въпросът	че	0.210526
е	вярно	че	0.500000
е	г	н	0.500000
е	гаранция	за	0.750000
е	говорил	за	0.444444
е	говорил	с	0.444444
е	годишен	мъж	0.555556
е	голям	проблем	0.185185
е	голям	ден	0.111111
е	голяма	и	0.250000
е	готов	да	0.615385
е	готов	за	0.096154
е	готов	на	0.096154
е	готов	и	0.076923
е	готова	да	0.535714
е	готова	за	0.178571
е	готова	на	0.107143
е	готово	да	0.500000
е	групата	на	0.800000
е	д	р	1.000000
е	да	се	0.395714
е	да	не	0.051429
е	да	има	0.048571
е	да	си	0.037143
е	да	бъде	0.027143
е	да	бъдат	0.024286
е	да	е	0.014286
е	да	осигури	0.014286
е	да	ги	0.011429
е	да	имаме	0.011429
е	да	няма	0.010000
е	да	сме	0.008571
е	да	са	0.007143
е	да	продължим	0.007143
е	да	ни	0.005714
е	да	видим	0.005714
е	да	сте	0.005714
е	да	имат	0.005714
е	да	го	0.004286
е	да	живееш	0.004286
е	да	направи	0.004286
е	да	можем	0.004286
е	да	предпази	0.004286
е	да	кажем	0.004286
е	да	даде	0.004286
е	да	бъдеш	0.004286
е	да	избере	0.004286
е	да	запазим	0.004286
е	дал	на	0.115385
е	далеч	от	0.687500
е	далеч	по	0.250000
е	два	пъти	0.800000
е	двойно	по	0.750000
е	дело	на	1.000000
е	ден	на	0.583333
е	деня	на	1.000000
е	децата	да	0.833333
е	директор	на	0.750000
е	длъжен	да	0.904762
е	длъжна	да	1.000000
е	до	от	0.093750
е	добра	идея	0.187500
е	добра	новина	0.156250
е	добра	за	0.125000
е	добра	но	0.125000
е	добра	и	0.093750
е	добре	да	0.380282
е	добре	за	0.126761
е	добре	дошла	0.056338
е	добре	известно	0.042254
е	добре	че	0.042254
е	добро	и	0.266667
е	добро	за	0.200000
е	добро	решение	0.200000
е	довел	до	1.000000
е	доволен	от	0.500000
е	доволна	от	0.666667
е	доктор	по	1.000000
е	дори	по	0.285714
е	дори	да	0.214286
е	доста	по	0.309524
е	достатъчно	да	0.217391
е	достатъчно	за	0.195652
е	дошло	времето	0.500000
е	дошъл	да	0.230769
е	друг	въпрос	0.333333
е	думата	на	1.000000
е	дълъг	и	0.500000
е	евро	на	0.333333
е	едва	ли	0.272727
е	един	от	0.709877
е	един	добър	0.024691
е	един	много	0.018519
е	един	и	0.018519
е	един	доста	0.018519
е	единствената	страна	0.200000
е	единственият	начин	0.173913
е	единственото	място	0.333333
е	една	от	0.694215
е	една	добра	0.033058
е	една	и	0.033058
е	едно	от	0.647059
е	експерт	в	0.750000
е	жертва	на	0.666667
е	жив	и	0.800000
е	жива	и	0.571429
е	живяла	в	0.500000
е	за	да	0.070513
е	за	сметка	0.044872
е	за	всички	0.025641
е	за	по	0.025641
е	за	това	0.019231
е	за	първи	0.019231
е	за	лечение	0.019231
е	забранено	да	0.800000
е	задължение	на	1.000000
е	задължително	да	0.588235
е	задължително	условие	0.235294
е	задържан	за	0.297872
е	задържан	годишен	0.212766
е	задържан	от	0.085106
е	задържан	и	0.063830
е	задържан	с	0.063830
е	задържан	в	0.063830
е	заедно	с	0.750000
е	законът	за	0.600000
е	заплаха	за	0.666667
е	започнал	да	0.600000
е	започнала	да	0.250000
е	започнала	проверка	0.093750
е	започнало	да	0.250000
е	започнало	в	0.250000
е	защита	на	1.000000
е	защото	те	0.187500
е	знаел	че	1.000000
е	знак	за	0.571429
е	и	че	0.120000
е	играл	за	0.250000
е	изборът	на	1.000000
е	избран	за	0.500000
е	избран	от	0.125000
е	избягал	от	0.500000
е	известен	с	0.217391
е	известен	като	0.173913
е	известен	на	0.173913
е	известен	от	0.130435
е	известна	като	0.272727
е	известно	че	0.118644
е	известно	дали	0.101695
е	известно	да	0.067797
е	известно	колко	0.050847
е	известно	на	0.050847
е	известно	и	0.050847
е	изключително	важно	0.288136
е	изключително	трудно	0.067797
е	изключително	важен	0.067797
е	изненадан	от	1.000000
е	изненадващо	че	0.500000
е	изпълнена	с	0.500000
е	израз	на	1.000000
е	изцяло	в	0.250000
е	изцяло	на	0.150000
е	има	ли	0.375000
е	имал	и	0.066667
е	имала	и	0.111111
е	имало	и	0.100000
е	имало	в	0.043750
е	имало	само	0.031250
е	имало	няколко	0.031250
е	имало	църква	0.018750
е	имало	сериозни	0.018750
е	имало	а	0.018750
е	имало	големи	0.018750
е	имало	признаци	0.018750
е	имало	някакво	0.018750
е	имало	над	0.018750
е	името	на	1.000000
е	интересна	и	1.000000
е	интересно	да	0.250000
е	искал	да	0.647059
е	искала	да	0.750000
е	историята	на	0.600000
е	казал	че	0.368421
е	казал	на	0.157895
е	казвал	че	0.750000
е	казвала	че	0.750000
е	как	да	0.315789
е	как	ще	0.105263
е	какви	са	0.750000
е	какво	ще	0.208333
е	кандидат	за	0.750000
е	като	да	0.135593
е	като	в	0.067797
е	като	се	0.050847
е	км	ч	0.571429
е	комбинация	от	1.000000
е	крайно	време	0.750000
е	краят	на	0.800000
е	лесно	да	0.357143
е	лесно	но	0.178571
е	ли	по	0.227273
е	лидер	на	0.533333
е	лидер	в	0.400000
е	липса	на	1.000000
е	липсата	на	1.000000
е	лице	на	0.750000
е	лицето	на	0.750000
е	логично	да	0.666667
е	лошо	да	0.214286
е	малко	над	0.297872
е	малко	по	0.170213
е	малко	вероятно	0.170213
е	малко	под	0.063830
е	между	и	0.600000
е	министър	на	0.555556
е	министър	председател	0.222222
е	мнението	на	0.818182
е	много	по	0.192593
е	много	важно	0.111111
е	много	трудно	0.044444
е	много	важна	0.040741
е	много	важен	0.029630
е	много	вероятно	0.022222
е	много	голяма	0.022222
е	много	трудна	0.018519
е	много	силно	0.014815
е	много	далеч	0.014815
е	много	много	0.011111
е	много	приятно	0.011111
е	много	силна	0.011111
е	много	голямо	0.011111
е	много	лош	0.011111
е	много	интересна	0.011111
е	много	добър	0.011111
е	много	тежка	0.011111
е	много	добро	0.011111
е	много	сериозно	0.011111
е	много	голям	0.011111
е	много	полезен	0.011111
е	могла	да	1.000000
е	могъл	да	0.888889
е	може	би	0.714286
е	може	ли	0.214286
е	можел	да	1.000000
е	моментът	да	0.500000
е	моментът	в	0.357143
е	мястото	на	0.307692
е	мястото	където	0.230769
е	на	години	0.078704
е	на	път	0.034722
е	на	мнение	0.034722
е	на	посещение	0.030093
е	на	сто	0.027778
е	на	стойност	0.027778
е	на	първо	0.025463
е	на	власт	0.020833
е	на	г	0.016204
е	на	прага	0.016204
е	на	всички	0.011574
е	на	второ	0.009259
е	на	база	0.009259
е	на	много	0.009259
е	на	км	0.009259
е	на	юли	0.009259
е	на	работа	0.009259
е	на	практика	0.009259
е	на	масата	0.006944
е	на	страната	0.006944
е	на	място	0.006944
е	на	една	0.006944
е	на	повече	0.006944
е	на	директора	0.006944
е	на	нива	0.006944
е	на	наша	0.006944
е	на	ниво	0.006944
е	на	и	0.006944
е	на	април	0.006944
е	на	прав	0.006944
е	над	от	0.093750
е	над	хиляди	0.093750
е	над	в	0.093750
е	най	големият	0.180412
е	най	голямата	0.113402
е	най	добрият	0.061856
е	най	добре	0.056701
е	най	голямото	0.051546
е	най	добрата	0.046392
е	най	доброто	0.036082
е	най	малко	0.030928
е	най	важното	0.030928
е	най	често	0.025773
е	най	вече	0.025773
е	най	силна	0.020619
е	най	добро	0.020619
е	най	лошото	0.020619
е	най	бързо	0.015464
е	най	висока	0.015464
е	най	малкото	0.015464
е	намерено	в	0.300000
е	направен	и	0.250000
е	направен	от	0.187500
е	направено	по	0.156250
е	направено	от	0.093750
е	направил	всичко	0.100000
е	направила	в	0.166667
е	напълно	възможно	0.222222
е	нарушение	на	0.818182
е	наследник	на	1.000000
е	началник	на	1.000000
е	началото	на	0.700000
е	начело	на	0.888889
е	начинът	по	0.384615
е	наясно	с	0.470588
е	наясно	че	0.294118
е	не	само	0.225806
е	не	просто	0.096774
е	не	по	0.096774
е	не	е	0.080645
е	не	повече	0.048387
е	невъзможно	да	0.388889
е	невъзможно	защото	0.222222
е	необходимо	да	0.505747
е	необходимо	за	0.126437
е	необходимо	допълнително	0.045977
е	нещо	което	0.350000
е	нещо	като	0.100000
е	нещо	ново	0.066667
е	нещо	с	0.050000
е	нещо	много	0.050000
е	нещото	което	1.000000
е	никак	случайно	0.333333
е	нова	за	0.363636
е	нова	но	0.272727
е	новият	директор	0.266667
е	новото	име	0.625000
е	нож	с	1.000000
е	нормално	да	0.260870
е	нужно	да	0.581818
е	нужно	за	0.072727
е	обаче	че	0.315789
е	обаче	и	0.157895
е	обвинен	в	0.333333
е	обект	на	0.909091
е	около	на	0.187500
е	около	а	0.093750
е	около	хил	0.062500
е	около	от	0.046875
е	около	процента	0.046875
е	около	пъти	0.046875
е	опасен	за	0.428571
е	опасно	за	0.400000
е	опасно	и	0.300000
е	опитал	да	1.000000
е	определен	за	0.500000
е	освободен	от	0.583333
е	освободен	за	0.333333
е	основание	за	0.857143
е	особено	важно	0.238095
е	останало	от	0.444444
е	от	до	0.050279
е	от	най	0.039106
е	от	значение	0.039106
е	от	г	0.033520
е	от	тези	0.027933
е	от	юни	0.027933
е	от	часа	0.027933
е	от	изключително	0.022346
е	от	а	0.022346
е	от	около	0.022346
е	от	вчера	0.022346
е	от	хората	0.016760
е	от	ноември	0.016760
е	от	малкото	0.016760
е	от	на	0.016760
е	отворен	за	0.571429
е	отворена	за	0.545455
е	отворено	за	0.750000
е	отговорен	за	0.800000
е	отговорна	за	1.000000
е	отговорът	на	1.000000
е	отказал	да	0.388889
е	отказал	от	0.333333
е	открита	в	0.222222
е	очевидно	че	0.500000
е	още	по	0.409836
е	още	един	0.147541
е	още	в	0.114754
е	още	една	0.081967
е	партньор	на	0.600000
е	плод	на	1.000000
е	по	добре	0.095092
е	по	скоро	0.061350
е	по	висока	0.058282
е	по	малко	0.036810
е	по	голям	0.036810
е	по	лесно	0.024540
е	по	висок	0.024540
е	по	важно	0.024540
е	по	добър	0.024540
е	по	различно	0.018405
е	по	голяма	0.018405
е	по	голямо	0.018405
е	по	добра	0.015337
е	по	различна	0.015337
е	по	вероятно	0.015337
е	по	силна	0.015337
е	по	силен	0.015337
е	по	високо	0.012270
е	по	важна	0.012270
е	по	бързо	0.012270
е	по	трудно	0.009202
е	по	близо	0.009202
е	по	евтино	0.009202
е	по	скъпа	0.009202
е	по	сложен	0.009202
е	по	малък	0.009202
е	по	различен	0.009202
е	по	повод	0.009202
е	по	малка	0.009202
е	повече	от	0.906977
е	повод	да	0.500000
е	повод	за	0.500000
е	под	шапката	0.113208
е	под	въпрос	0.094340
е	под	руски	0.075472
е	под	натиск	0.056604
е	под	от	0.056604
е	под	контрола	0.056604
е	под	контрол	0.056604
е	подходящ	за	0.700000
е	подходяща	за	0.833333
е	подходящо	за	0.500000
е	позволено	и	0.555556
е	позицията	на	0.800000
е	полезен	за	0.600000
е	полезно	да	0.500000
е	политиката	на	1.000000
е	получил	от	0.081081
е	посланик	на	1.000000
е	последният	ден	0.500000
е	починал	на	0.192308
