آ	اس	رم	1.000000
آمده	است	یک	0.016129
آمده	است	دولت	0.016129
آمده	اند	و	0.375000
آمده	باشد	که	1.000000
آمده	بود	که	0.300000
آمده	بود	و	0.180000
آمده	بود	در	0.060000
آمده	بودند	و	0.157895
آمده	و	به	0.146341
آمده	و	این	0.097561
آمده	و	با	0.073171
آمریکا	آمده	است	1.000000
آمریکا	از	سال	0.086207
آمریکا	از	جمله	0.086207
آمریکا	از	این	0.086207
آمریکا	از	آن	0.068966
آمریکا	از	طریق	0.051724
آمریکا	است	که	0.333333
آمریکا	اعلام	کرد	0.736842
آمریکا	اعلام	کرده	0.210526
آمریکا	انجام	شده	0.500000
آمریکا	با	سنت	0.062500
آمریکا	با	بیان	0.062500
آمریکا	با	استفاده	0.062500
آمریکا	بعد	از	1.000000
آمریکا	به	صورت	0.077922
آمریکا	به	این	0.051948
آمریکا	به	دنبال	0.051948
آمریکا	به	طور	0.038961
آمریکا	به	منظور	0.038961
آمریکا	به	دلیل	0.038961
آمریکا	به	عنوان	0.038961
آمریکا	بوده	است	0.666667
آمریکا	بیش	از	1.000000
آمریکا	تا	سال	0.500000
آمریکا	در	این	0.081448
آمریکا	در	منطقه	0.063348
آمریکا	در	امور	0.045249
آمریکا	در	سازمان	0.040724
آمریکا	در	سال	0.036199
آمریکا	در	حال	0.027149
آمریکا	در	مورد	0.027149
آمریکا	در	عراق	0.027149
آمریکا	در	ادامه	0.022624
آمریکا	در	جریان	0.022624
آمریکا	در	شرق	0.018100
آمریکا	در	نشست	0.018100
آمریکا	در	خصوص	0.018100
آمریکا	در	پی	0.018100
آمریکا	در	یک	0.013575
آمریکا	در	عین	0.013575
آمریکا	در	عمل	0.013575
آمریکا	در	جنوب	0.013575
آمریکا	در	کاخ	0.013575
آمریکا	را	به	0.134328
آمریکا	را	در	0.074627
آمریکا	رو	به	1.000000
آمریکا	روز	جمعه	0.291667
آمریکا	روز	دوشنبه	0.208333
آمریکا	روز	چهارشنبه	0.166667
آمریکا	روز	پنجشنبه	0.125000
آمریکا	شد	و	0.800000
آمریکا	شده	است	0.727273
آمریکا	عنوان	کرد	1.000000
آمریکا	قرار	دارد	0.307692
آمریکا	قرار	است	0.230769
آمریکا	قرار	گرفته	0.230769
آمریکا	قصد	دارد	0.571429
آمریکا	منتشر	شد	0.714286
آمریکا	نسبت	به	0.750000
آمریکا	و	اروپا	0.176471
آمریکا	و	غرب	0.088235
آمریکا	و	چین	0.088235
آمریکا	و	کره	0.044118
آمریکا	و	روسیه	0.029412
آمریکا	و	هم	0.029412
آمریکا	و	فرانسه	0.029412
آمریکا	و	حتی	0.022059
آمریکا	و	کانادا	0.022059
آمریکا	و	ژاپن	0.022059
آمریکا	و	در	0.022059
آمریکا	پس	از	1.000000
آمریکا	که	از	0.136364
آمریکا	گفت	که	0.666667
آمریکایی	است	که	0.461538
آمریکایی	به	نقل	0.125000
آمریکایی	در	منطقه	0.108108
آمریکایی	در	این	0.108108
آمریکایی	در	عراق	0.081081
آمریکایی	که	در	0.250000
آمریکایی	گزارش	داده	0.500000
آمیز	بوده	و	0.600000
آن	آغاز	شد	0.437500
آن	آغاز	شده	0.250000
آن	آغاز	خواهد	0.187500
آن	ادعا	شده	1.000000
آن	ارتباط	برقرار	1.000000
آن	از	جمله	0.109890
آن	از	طریق	0.054945
آن	از	دست	0.032967
آن	از	تلویزیون	0.032967
آن	از	سال	0.032967
آن	از	محل	0.032967
آن	است	که	0.818653
آن	است	و	0.062176
آن	است	تا	0.025907
آن	است	در	0.015544
آن	استفاده	کنند	0.241379
آن	استفاده	میکنند	0.137931
آن	استفاده	کند	0.068966
آن	استفاده	کرد	0.068966
آن	استفاده	میکند	0.068966
آن	استفاده	از	0.051724
آن	استفاده	کنیم	0.051724
آن	استفاده	کنید	0.051724
آن	استفاده	می	0.051724
آن	اشاره	کرد	0.428571
آن	اشاره	شده	0.085714
آن	اشاره	کرده	0.085714
آن	اضافه	کنید	0.428571
آن	اضافه	شد	0.142857
آن	اطمینان	حاصل	0.600000
آن	اظهار	نظر	0.500000
آن	اظهار	داشت	0.500000
آن	اعلام	کرد	0.375000
آن	افتاده	و	1.000000
آن	اقدام	کنند	0.214286
آن	اقدام	به	0.214286
آن	انجام	شده	0.400000
آن	انجام	شود	0.200000
آن	این	است	0.576923
آن	با	یک	0.054054
آن	با	استفاده	0.040541
آن	با	عنوان	0.040541
آن	باقی	مانده	1.000000
آن	باید	از	0.166667
آن	بخش	از	0.500000
آن	بخشی	از	0.600000
آن	بر	اساس	0.181818
آن	بر	عهده	0.090909
آن	بر	روی	0.090909
آن	بستگی	دارد	0.750000
آن	بسیار	مهم	0.312500
آن	به	عنوان	0.121457
آن	به	دلیل	0.036437
آن	به	شکل	0.028340
آن	به	بعد	0.020243
آن	به	سمت	0.020243
آن	به	کار	0.020243
آن	به	ویژه	0.016194
آن	به	بیش	0.016194
آن	به	وجود	0.016194
آن	به	سال	0.016194
آن	به	صورت	0.016194
آن	به	مردم	0.012146
آن	به	میلیون	0.012146
آن	به	کشور	0.012146
آن	به	طول	0.012146
آن	به	خوبی	0.012146
آن	به	یک	0.012146
آن	به	این	0.012146
آن	به	قرن	0.012146
آن	به	زودی	0.012146
آن	به	پایان	0.012146
آن	بهره	مند	0.500000
آن	بود	که	0.700000
آن	بوده	است	0.714286
آن	بیان	شد	0.500000
آن	بیش	از	1.000000
آن	بیشتر	از	0.357143
آن	بیشتر	است	0.214286
آن	تا	پایان	0.294118
آن	تصمیم	گیری	0.333333
آن	تلاش	برای	0.375000
آن	توجه	کنیم	0.170732
آن	توجه	شود	0.170732
آن	توجه	کرد	0.097561
آن	توجه	کنند	0.097561
آن	توضیح	داد	0.833333
آن	جا	به	0.187500
آن	جایی	که	1.000000
آن	جریان	دارد	0.666667
آن	حرکت	کنیم	0.600000
آن	حضرت	در	0.200000
آن	حضرت	را	0.100000
آن	حضور	دارند	0.407407
آن	حضور	داشتند	0.148148
آن	حضور	پیدا	0.111111
آن	حضور	داشته	0.111111
آن	خبر	داد	0.583333
آن	خواهد	بود	0.583333
آن	خواهد	شد	0.333333
آن	خواهیم	بود	0.375000
آن	خواهیم	داشت	0.375000
آن	خود	کرد	0.406250
آن	خود	کرده	0.218750
آن	خود	کند	0.187500
آن	خود	کردند	0.093750
آن	دارد	که	0.555556
آن	داشت	که	0.500000
آن	داشت	تا	0.333333
آن	داشته	باشد	0.416667
آن	در	سال	0.059055
آن	در	حال	0.059055
آن	در	نظر	0.035433
آن	در	اختیار	0.031496
آن	در	منطقه	0.031496
آن	در	دست	0.027559
آن	در	بازار	0.027559
آن	در	دستور	0.027559
آن	در	تمام	0.023622
آن	در	کشور	0.015748
آن	در	صورت	0.015748
آن	در	زمینه	0.015748
آن	در	آینده	0.015748
آن	در	قالب	0.011811
آن	در	قسمت	0.011811
آن	در	افراد	0.011811
آن	در	محدوده	0.011811
آن	در	کنار	0.011811
آن	در	برنامه	0.011811
آن	در	جامعه	0.011811
آن	در	طول	0.011811
آن	در	ساخت	0.011811
آن	در	یک	0.011811
آن	در	حالی	0.011811
آن	در	بخش	0.011811
آن	در	حدود	0.011811
آن	دست	به	0.416667
آن	دسته	از	0.925926
آن	دو	را	0.181818
آن	دوران	در	0.157895
آن	دوره	به	0.210526
آن	دوره	از	0.157895
آن	را	به	0.160532
آن	را	در	0.094070
آن	را	با	0.059305
آن	را	از	0.046012
آن	را	برای	0.018405
آن	را	بر	0.016360
آن	را	یک	0.011247
آن	را	هم	0.010225
آن	را	دارند	0.009202
آن	را	روی	0.009202
آن	را	انجام	0.008180
آن	را	می	0.008180
آن	را	تبدیل	0.007157
آن	را	تجربه	0.007157
آن	را	اعلام	0.007157
آن	را	منتشر	0.006135
آن	را	بررسی	0.006135
آن	را	افزایش	0.006135
آن	را	جبران	0.006135
آن	را	بیان	0.006135
آن	را	پرداخت	0.006135
آن	را	دنبال	0.005112
آن	را	دارد	0.005112
آن	را	اجرا	0.005112
آن	را	پیدا	0.005112
آن	را	رد	0.004090
آن	را	تایید	0.004090
آن	را	تماشا	0.004090
آن	را	ندارند	0.004090
آن	را	بدون	0.004090
آن	رسیده	که	0.416667
آن	رسیده	است	0.333333
آن	رسیده	بود	0.250000
آن	روز	و	0.065574
آن	روز	به	0.049180
آن	روز	هم	0.049180
آن	روز	است	0.049180
آن	روزها	را	0.150000
آن	زمان	به	0.091954
آن	زمان	در	0.080460
آن	زمان	که	0.063218
آن	زمان	با	0.040230
آن	زمان	هم	0.034483
آن	زمان	از	0.034483
آن	زمان	این	0.028736
آن	زمان	آقای	0.022989
آن	زمان	تا	0.017241
آن	زمانی	که	0.750000
آن	زندگی	میکنند	0.500000
آن	ساخته	شده	0.500000
آن	شده	است	0.500000
آن	صادر	شد	0.666667
آن	صحبت	کنیم	0.250000
آن	صورت	گرفت	0.304348
آن	صورت	گرفته	0.217391
آن	طرف	هم	0.157895
آن	طور	که	1.000000
آن	عمل	می	0.250000
آن	عمل	میکند	0.250000
آن	فرا	رسیده	1.000000
آن	قرار	دارد	0.333333
آن	قرار	دارند	0.208333
آن	قرار	گرفته	0.166667
آن	قسمت	از	1.000000
آن	متفاوت	است	0.666667
آن	مربوط	به	1.000000
آن	مشخص	نشده	0.176471
آن	مشخص	است	0.176471
آن	مشخص	شود	0.176471
آن	مطرح	شده	0.500000
آن	مقدار	که	0.600000
آن	ممکن	است	0.750000
آن	می	توان	0.294118
آن	می	شود	0.294118
آن	می	تواند	0.235294
آن	ندارد	و	0.800000
آن	نزدیک	به	0.571429
آن	نسبت	به	0.833333
آن	نوشته	شده	0.428571
آن	نیاز	به	0.333333
آن	نیست	که	0.615385
آن	ها	را	0.116279
آن	ها	به	0.058140
آن	ها	در	0.046512
آن	ها	می	0.034884
آن	ها	از	0.029070
آن	ها	برای	0.029070
آن	ها	با	0.023256
آن	ها	و	0.023256
آن	ها	تا	0.023256
آن	ها	هم	0.023256
آن	ها	صورت	0.017442
آن	هایی	که	0.800000
آن	هستند	و	0.375000
آن	هستیم	که	0.407407
آن	هستیم	تا	0.185185
آن	هستیم	و	0.111111
آن	هم	در	0.224044
آن	هم	به	0.114754
آن	هم	با	0.098361
آن	هم	از	0.038251
آن	هم	برای	0.032787
آن	هم	این	0.027322
آن	هم	یک	0.016393
آن	هم	بر	0.016393
آن	هنوز	مشخص	0.444444
آن	و	همچنین	0.171429
آن	وجود	دارد	0.490566
آن	وجود	ندارد	0.320755
آن	وجود	داشته	0.075472
آن	وجود	نداشته	0.056604
آن	وقت	دیگر	0.150000
آن	پیدا	شده	0.500000
آن	چه	که	0.142857
آن	چیزی	که	0.649123
آن	چیزی	است	0.122807
آن	چیزی	نیست	0.052632
آن	کسی	که	0.846154
آن	کشور	را	0.160000
آن	کمتر	از	0.571429
آن	کمک	میکند	0.437500
آن	کمک	کند	0.375000
آن	که	در	0.166667
آن	که	من	0.062500
آن	که	به	0.062500
آن	گونه	که	0.857143
آنان	در	این	0.103448
آنان	را	به	0.181818
آنان	را	از	0.121212
آنان	را	در	0.090909
آنان	و	همچنین	0.300000
آنها	ادامه	دارد	0.600000
آنها	از	این	0.073529
آنها	از	اینکه	0.044118
آنها	از	طریق	0.044118
آنها	از	هر	0.044118
آنها	استفاده	کنند	0.160000
آنها	استفاده	کند	0.120000
آنها	استفاده	کرد	0.120000
آنها	انجام	شده	0.500000
آنها	این	کار	0.181818
آنها	این	است	0.181818
آنها	این	بود	0.136364
آنها	با	این	0.051724
آنها	بار	دیگر	1.000000
آنها	برای	آزادی	0.055556
آنها	بعد	از	0.875000
آنها	به	عنوان	0.055838
آنها	به	این	0.040609
آنها	به	طور	0.040609
آنها	به	خاطر	0.030457
آنها	به	خوبی	0.030457
آنها	به	صورت	0.030457
آنها	به	دلیل	0.025381
آنها	به	بهانه	0.020305
آنها	به	جای	0.020305
آنها	به	دنبال	0.020305
آنها	به	شدت	0.020305
آنها	به	همراه	0.020305
آنها	به	سمت	0.020305
آنها	به	بیمارستان	0.015228
آنها	بود	و	0.625000
آنها	بوده	است	0.500000
آنها	بیش	از	1.000000
آنها	بیشتر	از	0.555556
آنها	بین	تا	1.000000
آنها	تشکر	میکنم	0.428571
آنها	توجه	شود	0.375000
آنها	حتی	در	0.222222
آنها	حتی	به	0.222222
آنها	خواهد	شد	0.571429
آنها	داشته	باشد	0.428571
آنها	داشته	باشیم	0.428571
آنها	در	این	0.074074
آنها	در	حال	0.055556
آنها	در	یک	0.037037
آنها	در	برابر	0.037037
آنها	در	حالی	0.018519
آنها	در	شرایط	0.018519
آنها	در	مورد	0.018519
آنها	در	مقابل	0.018519
آنها	در	صورت	0.018519
آنها	را	به	0.181416
آنها	را	در	0.121681
آنها	را	از	0.053097
آنها	را	با	0.048673
آنها	را	برای	0.042035
آنها	را	هم	0.019912
آنها	را	بر	0.015487
آنها	را	بیشتر	0.011062
آنها	را	شناسایی	0.011062
آنها	را	نشان	0.008850
آنها	را	بررسی	0.008850
آنها	را	مورد	0.008850
آنها	را	هدف	0.008850
آنها	را	ضبط	0.006637
آنها	را	روی	0.006637
آنها	را	آزاد	0.006637
آنها	را	تحت	0.006637
آنها	را	کنار	0.006637
آنها	را	قادر	0.006637
آنها	را	تا	0.006637
آنها	را	وادار	0.006637
آنها	را	معرفی	0.006637
آنها	رسیده	است	1.000000
آنها	زن	و	0.800000
آنها	سخت	است	0.750000
آنها	سوار	بر	1.000000
آنها	شده	است	0.625000
آنها	صورت	گرفته	0.750000
آنها	ما	را	1.000000
آنها	متعلق	به	1.000000
آنها	مربوط	به	1.000000
آنها	ممکن	است	1.000000
آنها	می	توانند	0.230769
آنها	می	تواند	0.230769
آنها	نداشته	باشد	0.666667
آنها	نسبت	به	1.000000
آنها	نه	تنها	0.750000
آنها	هستند	که	0.666667
آنها	هم	در	0.129630
آنها	هم	به	0.074074
آنها	هم	از	0.074074
آنها	و	همچنین	0.193548
آنها	وجود	دارد	0.733333
آنها	پس	از	1.000000
آنها	کمک	کنیم	0.150000
آنها	کمک	کند	0.150000
آنها	کمک	میکند	0.150000
آنها	که	در	0.200000
آنها	گفتم	که	1.000000
آنها	گفتند	که	0.800000
آنها	یکی	از	1.000000
آوری	شده	است	0.333333
آوری	و	در	0.666667
آیا	از	نظر	0.300000
آیا	این	اتفاق	0.087719
آیا	این	افراد	0.052632
آیا	این	مساله	0.052632
آیا	تا	به	1.000000
آیا	در	این	0.352941
آیا	می	توان	0.800000
ا	م	ن	0.600000
ابتدا	با	اشاره	0.176471
ابتدا	با	یک	0.176471
ابتدا	باید	این	0.230769
ابتدا	به	عنوان	0.153846
ابتدا	به	این	0.115385
ابد	محکوم	شده	0.500000
اتفاق	افتاد	و	0.390244
اتفاق	افتاد	که	0.121951
اتفاق	افتاد	این	0.073171
اتفاق	افتادن	است	1.000000
اتفاق	افتاده	است	0.449275
اتفاق	افتاده	و	0.144928
اتفاق	افتاده	بود	0.101449
اتفاق	افتاده	باشد	0.072464
اتفاق	افتاده	که	0.043478
اتفاق	بعد	از	1.000000
اتفاق	تلخ	در	0.230769
اتفاق	تلخ	و	0.230769
اتفاق	خاصی	رخ	0.444444
اتفاق	خواهد	افتاد	1.000000
اتفاق	خوبی	است	0.500000
اتفاق	در	حالی	0.200000
اتفاق	دیگری	که	0.333333
اتفاق	رخ	نداد	0.388889
اتفاق	رخ	دهد	0.166667
اتفاق	رخ	نداده	0.166667
اتفاق	زمانی	رخ	1.000000
اتفاق	عجیبی	رخ	0.444444
اتفاق	عجیبی	در	0.333333
اتفاق	می	افتاد	0.750000
اتفاق	نخواهد	افتاد	1.000000
اتفاق	نظر	دارند	0.428571
اتفاقی	افتاد	که	0.800000
اتفاقی	افتاده	است	0.500000
اتفاقی	بود	که	1.000000
اتفاقی	خواهد	افتاد	1.000000
اتفاقی	در	حال	0.250000
اتفاقی	در	این	0.187500
اتفاقی	رخ	نداده	0.285714
اتفاقی	رخ	داده	0.214286
اتفاقی	رخ	دهد	0.214286
اتفاقی	که	در	0.267857
اتفاقی	که	باعث	0.089286
اتفاقی	که	رخ	0.053571
اتفاقی	که	افتاد	0.053571
اتمام	است	و	0.750000
اتمام	این	پروژه	0.600000
اتمام	خواهد	رسید	1.000000
اتمام	رسیده	و	0.500000
اتمام	رسیده	است	0.300000
اتهامات	را	رد	0.750000
اجاره	خانه	در	0.538462
اجاره	یک	واحد	0.571429
اجاره	یک	خانه	0.428571
اجازه	ازدواج	مجدد	1.000000
اجازه	حضور	در	0.555556
اجازه	داد	تا	0.421053
اجازه	دادن	به	0.666667
اجازه	داده	شود	0.214286
اجازه	را	به	0.714286
اجازه	می	دهد	0.750000
اجازه	نخواهد	داد	1.000000
اجازه	ورود	به	0.350000
احترام	ویژه	قائل	1.000000
احترام	گذاشتن	به	0.750000
احتمالا	به	این	0.315789
احتمالا	به	دلیل	0.263158
احتمالا	منجر	به	1.000000
احساس	آرامش	بیشتری	0.333333
احساس	میکنم	که	0.300000
احساس	کردند	که	0.600000
اداره	آموزش	و	1.000000
اداره	دهم	پلیس	0.900000
اداره	راه	و	1.000000
اداره	فرهنگ	و	0.916667
اداره	منابع	طبیعی	0.941176
اداره	می	شود	0.384615
اداره	می	کند	0.230769
اداره	نظارت	بر	0.625000
اداره	ورزش	و	1.000000
اداره	پیش	بینی	1.000000
اداره	کل	ورزش	0.152542
اداره	کل	آموزش	0.110169
اداره	کل	روابط	0.076271
اداره	کل	فرهنگ	0.059322
اداره	کل	در	0.059322
اداره	کل	منابع	0.050847
اداره	کل	اطلاعات	0.050847
اداره	کل	حفاظت	0.050847
اداره	کل	امور	0.042373
اداره	کل	برای	0.033898
اداره	کل	راه	0.033898
اداره	کل	صنعت	0.033898
اداره	کل	و	0.025424
ادامه	اضافه	میکند	0.500000
ادامه	اظهار	کرد	1.000000
ادامه	این	نشست	0.121951
ادامه	این	گزارش	0.085366
ادامه	این	مقاله	0.073171
ادامه	این	مطلب	0.073171
ادامه	این	جلسه	0.073171
ادامه	این	روند	0.060976
ادامه	این	مراسم	0.060976
ادامه	این	نوشته	0.048780
ادامه	این	برنامه	0.048780
ادامه	این	راه	0.036585
ادامه	با	اشاره	0.472727
ادامه	با	بیان	0.200000
ادامه	با	ما	0.072727
ادامه	با	مشخصات	0.054545
ادامه	بازی	را	0.375000
ادامه	به	این	0.089286
ادامه	به	معرفی	0.089286
ادامه	به	بررسی	0.089286
ادامه	به	اهمیت	0.071429
ادامه	به	موضوع	0.071429
ادامه	بیان	کرد	0.700000
ادامه	بیان	میکند	0.150000
ادامه	حضور	در	0.777778
ادامه	خاطر	نشان	1.000000
ادامه	خواهد	داشت	0.642276
ادامه	خواهد	داد	0.349593
ادامه	خواهند	داد	0.909091
ادامه	خواهیم	داد	0.933333
ادامه	داد	در	0.144380
ادامه	داد	این	0.063953
ادامه	داد	از	0.047481
ادامه	داد	با	0.044574
ادامه	داد	به	0.031977
ادامه	داد	همچنین	0.026163
ادامه	داد	ما	0.021318
ادامه	داد	اگر	0.020349
ادامه	داد	یکی	0.017442
ادامه	داد	امروز	0.015504
ادامه	داد	برای	0.015504
ادامه	داد	باید	0.014535
ادامه	داد	من	0.013566
ادامه	داد	پس	0.013566
ادامه	داد	وقتی	0.011628
ادامه	داد	البته	0.010659
ادامه	داد	یک	0.009690
ادامه	داد	و	0.008721
ادامه	داد	هزار	0.008721
ادامه	داد	که	0.008721
ادامه	داد	اما	0.008721
ادامه	داد	سال	0.007752
ادامه	داد	بر	0.007752
ادامه	داد	برخی	0.006783
ادامه	داد	طی	0.006783
ادامه	داد	همه	0.006783
ادامه	داد	هم	0.005814
ادامه	داد	متأسفانه	0.005814
ادامه	داد	موضوع	0.005814
ادامه	داد	تا	0.004845
ادامه	داده	و	0.357143
ادامه	داده	است	0.357143
ادامه	دارد	و	0.548780
ادامه	دارد	که	0.060976
ادامه	دارد	گفت	0.048780
ادامه	دارد	به	0.048780
ادامه	دارد	تا	0.036585
ادامه	دارد	اما	0.036585
ادامه	دارد	در	0.036585
ادامه	داشت	تا	0.233333
ادامه	داشت	و	0.166667
ادامه	داشت	که	0.100000
ادامه	داشت	اما	0.100000
ادامه	داشته	باشد	0.705882
ادامه	داشته	و	0.176471
ادامه	داشته	است	0.088235
ادامه	در	خصوص	0.285714
ادامه	در	پاسخ	0.214286
ادامه	دهد	به	0.166667
ادامه	دهد	و	0.166667
ادامه	دهند	و	0.444444
ادامه	دهنده	راه	0.400000
ادامه	رسیدگی	به	1.000000
ادامه	روند	رسیدگی	0.277778
ادامه	شما	را	1.000000
ادامه	عنوان	کرد	1.000000
ادامه	مصاحبه	خود	1.000000
ادامه	می	دهد	0.774194
ادامه	می	دهند	0.193548
ادامه	همکاری	با	0.500000
ادامه	پیدا	کند	0.405797
ادامه	پیدا	کرد	0.231884
ادامه	پیدا	میکند	0.144928
ادامه	پیدا	خواهد	0.086957
ادامه	پیدا	کرده	0.043478
ادامه	گفت	در	0.111111
ادامه	گفت	که	0.088889
ادامه	گفت	با	0.066667
ادامه	یافته	و	0.571429
ادعا	در	حالی	0.600000
ادعا	شده	است	0.411765
ادعا	شده	بود	0.294118
ادعا	میکند	که	0.736842
ادعا	میکنند	که	0.600000
ادعا	کرد	که	0.482143
ادعا	کرد	این	0.053571
ادعا	کرد	در	0.053571
ادعا	کرده	است	0.352941
ادعا	کرده	بود	0.235294
ادعا	کند	که	1.000000
ادعا	که	این	0.375000
ارائه	آن	به	1.000000
ارائه	این	خدمات	0.428571
ارائه	خدمات	به	0.298507
ارائه	خدمات	در	0.074627
ارائه	خدمات	از	0.044776
ارائه	خدمات	هستند	0.044776
ارائه	خدمت	به	0.307692
ارائه	خواهد	کرد	0.384615
ارائه	خواهد	شد	0.384615
ارائه	خواهد	داد	0.230769
ارائه	داد	و	0.500000
ارائه	داده	است	0.533333
ارائه	دهنده	خدمات	0.800000
ارائه	شد	و	0.333333
ارائه	شده	است	0.305882
ارائه	شده	در	0.152941
ارائه	شده	از	0.094118
ارائه	شده	به	0.094118
ارائه	شده	و	0.082353
ارائه	شده	توسط	0.082353
ارائه	می	شود	0.388889
ارائه	می	دهد	0.250000
ارائه	می	دهند	0.111111
ارائه	می	کند	0.111111
ارائه	میکند	و	0.500000
ارائه	میکند	که	0.375000
ارائه	میکنند	و	0.600000
ارائه	نشده	است	0.777778
ارائه	نکرده	است	0.625000
ارائه	کرد	و	0.523810
ارائه	کرد	که	0.190476
ارائه	کرده	است	0.500000
ارائه	کرده	و	0.194444
ارائه	کرده	بود	0.111111
ارائه	کرده	اند	0.083333
ارائه	کنند	و	0.800000
ارزش	بیش	از	1.000000
ارزش	خود	را	1.000000
ارزش	میلیون	دلار	0.666667
ارزش	ها	و	0.428571
ارزش	هزار	و	0.928571
ارزش	و	اهمیت	0.250000
ارزش	پول	ملی	0.758621
از	آب	و	0.132075
از	آب	در	0.094340
از	آب	سرد	0.075472
از	آب	بیرون	0.056604
از	آب	درآمد	0.056604
از	آب	خارج	0.056604
از	آتش	سوزی	0.545455
از	آتش	بس	0.272727
از	آثار	مثبت	0.142857
از	آخرین	وضعیت	0.392857
از	آسمان	شب	0.250000
از	آسیب	به	0.333333
از	آسیب	های	0.200000
از	آغاز	عملیات	0.192661
از	آغاز	جنگ	0.174312
از	آغاز	طرح	0.073394
از	آغاز	به	0.055046
از	آغاز	فصل	0.045872
از	آغاز	سال	0.027523
از	آغاز	تجاوز	0.027523
از	آغاز	این	0.027523
از	آماده	باش	0.545455
از	آمدن	به	0.500000
از	آمریکا	و	0.214286
از	آمریکا	شد	0.107143
از	آمریکا	به	0.107143
از	آموزش	و	0.750000
از	آن	است	0.056881
از	آن	به	0.055046
از	آن	در	0.044037
از	آن	استفاده	0.043119
از	آن	زمان	0.040367
از	آن	را	0.037615
از	آن	خود	0.031193
از	آن	برای	0.028440
از	آن	ها	0.022936
از	آن	هم	0.020183
از	آن	بود	0.020183
از	آن	با	0.017431
از	آن	که	0.016514
از	آن	طرف	0.013761
از	آن	صورت	0.013761
از	آن	چیزی	0.011927
از	آن	جهت	0.011009
از	آن	از	0.010092
از	آن	دارد	0.010092
از	آن	بهره	0.010092
از	آن	روز	0.009174
از	آن	جمله	0.006422
از	آن	داشت	0.006422
از	آن	جا	0.005505
از	آن	دوران	0.005505
از	آن	بیان	0.005505
از	آن	باقی	0.005505
از	آن	یک	0.005505
از	آن	دست	0.005505
از	آن	ندارد	0.004587
از	آنان	به	0.117647
از	آنان	در	0.117647
از	آنان	را	0.088235
از	آنجا	که	0.639175
از	آنجا	به	0.144330
از	آنجا	هم	0.030928
از	آنجا	آغاز	0.030928
از	آنها	در	0.103704
از	آنها	را	0.069136
از	آنها	استفاده	0.061728
از	آنها	به	0.059259
از	آنها	برای	0.044444
از	آنها	هم	0.019753
از	آنها	از	0.014815
